,0,1
376,4926859,"THRONEBERRY to 3b for SMITH, G.."
377,4926859,"GILLUM, G. to p for DAVIDSON, H.."
378,4926859,KUTT to p for BYRNES.
379,4926859,MANIS to p for KUTT.
380,4926859,"CONTORNO pinch ran for KIEFER, B.."
381,4926859,"LANGSTON, L. to c for CONTORNO."
382,4926062,Peterson reached on a fielders choice to shortstop (0-0) DiLoreto out at second ss unassisted.
383,4926062,NU Mound Visit.
384,4926062,Rosen reached on a fielders choice to shortstop (1-1 KB) Beaudet out at second ss to 2b.
385,4926062,Stiehl to p for Murphy.
386,4926062,NU Mound Visit.
387,4926062,Alabama Mound Visit.
388,4926062,Ras to p for Prielipp.
389,4926062,Winkler to p for Stiehl.
390,4926062,Gigliotti to p for Winkler.
391,4926062,Tate pinch hit for Gentry.
392,4926062,Wilson pinch hit for Praytor.
393,4926062,McCleney to lf for Reeves.
394,4926062,Tate to rf.
395,4926062,Wilson to c.
396,4926062,Austin to 2b for Robinson.
397,4926062,Jarvis to ss.
398,4926062,Green to p for Ras.
399,4926062,Jarvis to c for Beaudet.
400,4926062,Balboni to p for Gigliotti.
401,4926062,Hamiter pinch hit for Denton.
402,4926062,Hamiter to 3b.
403,4926062,Smith to p for Green.
404,4926062,Cervone pinch hit for Smith.
405,4926062,Crossen pinch hit for Holzwasser.
406,4925965,HOCKETT to p for WRIGHT.
407,4925965,"BEY, C. reached on a fielders choice (1-0) RUGGIERO, M. advanced to second MARTINEZ, H. out at third 3b unassisted."
408,4925965,"ZUPPE, Nick to p for LAUK, Ryan."
409,4925965,"DAVIS to cf for HANCHEY,Tr.."
410,4925965,MORGAN to p for HOCKETT.
411,4925965,"CIMAROLI, A. pinch hit for MEDRANO, AJ."
412,4925965,"BEY, C. to 3b."
413,4925965,"CIMAROLI, A. to 2b."
414,4925965,"MATTI, E. pinch hit for MARTINEZ, H.."
415,4925965,SANCHEZ to p for MORGAN.
416,4925965,"RUGGIERO, M. reached on a fielders choice (0-2) SCHNEIDER,G. advanced to second MATTI, E. out at third 3b unassisted."
417,4925965,"MATTI, E. to cf."
418,4925965,DELGADO pinch hit for DAVIS.
419,4925965,"WISEMAN, K. to p for ZUPPE, Nick."
420,4926903,Showalter to p for Stewart.
421,4926903,Ottinger to p for Showalter.
422,4926903,"Nelson, B. to p for Swiney."
423,4926903,Morgan pinch hit for Hayes.
424,4926903,Morgan to c.
425,4926903,Jackson pinch ran for Hartigan.
426,4926903,"Klyman to p for Nelson, B.."
427,4926882,Broyles pinch hit for A. Peterson.
428,4926882,"EDWARDS,Chri to p for HATHCOCK,Dyl."
429,4926882,Belk pinch hit for Swanger.
430,4926882,Broyles to lf.
431,4926882,Belk to 1b.
432,4926882,"FORTNER,Trey to p for EDWARDS,Chri."
433,4926882,Veinbergs to p for Bedell.
434,4926882,"RAMIREZ,Javi reached on a fielders choice to second base (1-1 KB):ADAMS,Nash out at second 2b to ss."
435,4926882,"FREDERICK,Co reached on a fielders choice to third base (1-2 FKB):NAISMITH,And advanced to second:KIRKLIN,Tre out at third 3b unassisted."
436,4926882,"WEBB,Alex reached on a fielders choice to second base (2-1 FBB):FREDERICK,Co out at second 2b to ss:NAISMITH,And advanced to third."
437,4926882,"LEWIS,Colton to p for FORTNER,Trey."
438,4926882,Springer to p for Veinbergs.
439,4926882,"ROBINSON,Cha pinch hit for ADAMS,Nash."
440,4926882,"CRAVEN,Taylo pinch hit for RAMIREZ,Javi."
441,4926539,"Weber,A. to p for Seils,J.."
442,4926539,Coutney advanced to second on the throw.
443,4926539,Holiday to p for Gregory.
444,4926539,"Austin,B. reached on a fielders choice (1-1 FB) Brown,N. advanced to second Camper, B. out at third 3b unassisted."
445,4926539,Rivera to p for Holiday.
446,4926539,Parmentier to p for Rivera.
447,4926539,Claxton pinch hit for LaFollette.
448,4926539,Teschko to rf.
449,4926539,Claxton to cf.
450,4926539,Dean to p for Parmentier.
451,4926539,"Cabrera,N. reached on a fielders choice (0-2 SKF) Masters,D. out at second 3b to 2b."
452,4926539,"Clark, C. to p for Weber,A.."
453,4926539,Petracci pinch hit for Claxton.
454,4926539,Teschko to cf.
455,4926539,Coldsnow to rf for Petracci.
456,4926887,"CAMPBELL, M. to p for GREGORY, J.."
457,4926887,"BERRIER, L. to p for CAMPBELL, M.."
458,4926887,C. Lyons pinch ran for A. Lawvere.
459,4926887,J. Lang reached on a fielders choice:L. Kolovitz out at second ss to 2b:C. Lyons advanced to third.
460,4926887,T. Upp to 1b for C. Lyons.
461,4926887,"MCEVOY, A. to p for BERRIER, L.."
462,4926887,D. Reich pinch hit for L. Kolovitz.
463,4926887,T. Stoner reached on a fielders choice:D. Reich out at second 2b unassisted:G. Lake advanced to third.
464,4926887,R. Young III to rf.
465,4926887,D. Reich to lf.
466,4926887,M. Madura to p for C. Boyd.
467,4926887,"DIX, E. pinch hit for KOWALSKI, D.."
468,4926887,"LOONEY, J. to c for DIX, E.."
469,4926887,"CHAMPAGNE, D pinch hit for STANKO, Z.."
470,4926887,"HUTT, C. to p for MCEVOY, A.."
471,4926887,"PETERSON, M. pinch ran for GORHAM, A.."
472,4926887,"DOLBERRY, M. pinch ran for BLAKENEY, N.."
473,4926887,S. Ferguson to p for M. Madura.
474,4926886,Harris reached on a fielders choice (1-0 B):Madej out at second 2b to ss.
475,4926886,Zoz to p for A. Brown.
476,4926886,Paulk to p for Zoz.
477,4926886,Williams to dh for Baker.
478,4926886,Williams pinch hit.
479,4926886,Lancellotti to dh.
480,4926886,Palermo to p.
481,4926886,Lopez reached on a fielders choice (0-0):Sanders out at second ss to 2b.
482,4926886,Julian to p for Paulk.
483,4926886,Kehoe pinch ran for Lancellotti.
484,4926886,Thomas to 1b for Wright.
485,4926886,Speirs to c for Hagenow.
486,4926886,Mabry to 3b for Sullivan.
487,4926886,Mott to p for Palermo.
488,4926886,Vinson to cf for Sanders.
489,4926886,P. Brown to lf for Bennett.
490,4926886,Jones to p for Julian.
491,4926886,Jennings to ss for Lopez.
492,4926886,Stewart pinch hit for Kehoe.
493,4926886,Freeman to p for Jones.
494,4926886,Tessar pinch ran for Roberts.
495,4926886,Holtzapple pinch hit for Harris.
496,4926886,Semper to rf for Holtzapple.
497,4926886,Tessar to cf.
498,4926886,Elliott to p for Mott.
499,4926459,Offschanka to p for McGowan.
500,4926459,CHENIER to p for SOROKOWSKI.
501,4926459,Earhart to p for Offschanka.
502,4926459,Ard to p for Earhart.
503,4926459,Boss to p for Ard.
504,4926459,SERRANO to p for CHENIER.
505,4926459,AGUILA to 3b for CARPENTER.
506,4926459,"Wheeler to cf for Elwood, T."
507,4926459,Cheek to lf for Pilolli.
508,4926459,Covington to p for Boss.
509,4926459,LOCKLEAR pinch hit for AMISS.
510,4926459,PUGLIELLI pinch hit for SCHROEDER.
511,4926459,Palinkas to p for Covington.
512,4926459,YOUNG pinch hit for HENSON.
513,4926459,YOUNG to rf.
514,4926459,BENZIN to lf for LOCKLEAR.
515,4925982,"Cutts, B to p for Klein, W."
516,4925982,M. Denton to p for C. Noland.
517,4925982,Z. Gregory pinch ran for M. Goodheart.
518,4925982,"Waznis, M pinch hit for Toppel, D."
519,4925982,"Tesmond, T pinch ran for Waznis, M."
520,4925982,"Kerrigan, K to lf."
521,4925982,"Tesmond, T to rf."
522,4925982,K. Kopps to p for M. Denton.
523,4926189,"Smith, Ja. reached on a fielders choice (0-1 K) Morrison, C. out at second 2b to ss."
524,4926189,"Meredith, N. to p for Erwin, B.."
525,4926189,"Thompson, T. reached on a fielders choice (0-0) Fernlund, C. out at second 2b to ss."
526,4926189,"Schramm, D. to p for Kelly, J.."
527,4926189,"Kiernan, J. reached on a fielders choice (0-0) Knight, B. out at second ss to 2b."
